YYYY-MM-DD	HHMM (LST)	Time	Value		ETR (Whm^2)
112010	100	0	0		
112010	200	1	0		
112010	300	2	0		
112010	400	3	0		
112010	500	4	0		
112010	600	5	0		
112010	700	6	0		
112010	800	7	45		
112010	900	8	248		
112010	1000	9	433		
112010	1100	10	565		
112010	1200	11	635		
112010	1300	12	637		
112010	1400	13	573		
112010	1500	14	445		
112010	1600	15	264		
112010	1700	16	57		
112010	1800	17	0		
112010	1900	18	0		
112010	2000	19	0		
112010	2100	20	0		
112010	2200	21	0		
112010	2300	22	0		
112010	2400	23	0		
122010	100	24	0		
122010	200	25	0		
122010	300	26	0		
122010	400	27	0		
122010	500	28	0		
122010	600	29	0		
122010	700	30	0		
122010	800	31	45		
122010	900	32	248		
122010	1000	33	433		
122010	1100	34	566		
122010	1200	35	637		
122010	1300	36	640		
122010	1400	37	576		
122010	1500	38	448		
122010	1600	39	267		
122010	1700	40	59		
122010	1800	41	0		
122010	1900	42	0		
122010	2000	43	0		
122010	2100	44	0		
122010	2200	45	0		
122010	2300	46	0		
122010	240000	47	0		
132010	100	48	0		
132010	200	49	0		
132010	300	50	0		
132010	400	51	0		
132010	500	52	0		
132010	600	53	0		
132010	700	54	0		
132010	800	55	44		
132010	900	56	248		
132010	1000	57	434		
132010	1100	58	567		
132010	1200	59	638		
132010	1300	60	642		
132010	1400	61	578		
132010	1500	62	452		
132010	1600	63	271		
132010	1700	64	61		
132010	1800	65	0		
132010	1900	66	0		
132010	2000	67	0		
132010	2100	68	0		
132010	2200	69	0		
132010	2300	70	0		
132010	240000	71	0		
142010	100	72	0		
142010	200	73	0		
142010	300	74	0		
142010	400	75	0		
142010	500	76	0		
142010	600	77	0		
142010	700	78	0		
142010	800	79	44		
142010	900	80	249		
142010	1000	81	435		
142010	1100	82	569		
142010	1200	83	640		
142010	1300	84	645		
142010	1400	85	581		
142010	1500	86	455		
142010	1600	87	274		
142010	1700	88	64		
142010	1800	89	0		
142010	1900	90	0		
142010	2000	91	0		
142010	2100	92	0		
142010	2200	93	0		
142010	2300	94	0		
142010	240000	95	0		
152010	100	96	0		
152010	200	97	0		
152010	300	98	0		
152010	400	99	0		
152010	500	100	0		
152010	600	101	0		
152010	700	102	0		
152010	800	103	45		
152010	900	104	249		
152010	1000	105	436		
152010	1100	106	570		
152010	1200	107	642		
152010	1300	108	647		
152010	1400	109	584		
152010	1500	110	458		
152010	1600	111	278		
152010	1700	112	67		
152010	1800	113	0		
152010	1900	114	0		
152010	2000	115	0		
152010	2100	116	0		
152010	2200	117	0		
152010	2300	118	0		
152010	240000	119	0		
162010	100	120	0		
162010	200	121	0		
162010	300	122	0		
162010	400	123	0		
162010	500	124	0		
162010	600	125	0		
162010	700	126	0		
162010	800	127	45		
162010	900	128	250		
162010	1000	129	437		
