Time	Value
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	45
8	248
9	433
10	565
11	635
12	637
13	573
14	445
15	264
16	57
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	45
32	248
33	433
34	566
35	637
36	640
37	576
38	448
39	267
40	59
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	44
56	248
57	434
58	567
59	638
60	642
61	578
62	452
63	271
64	61
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	44
80	249
81	435
82	569
83	640
84	645
85	581
86	455
87	274
88	64
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	45
104	249
105	436
106	570
107	642
108	647
109	584
110	458
111	278
112	67
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	45
128	250
129	437
130	572
131	645
132	650
133	588
134	462
135	282
136	70
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	45
152	251
153	439
154	574
155	647
156	653
157	591
158	466
159	286
160	73
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	45
176	252
177	440
178	576
179	650
180	656
181	595
182	469
183	290
184	76
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	46
200	253
201	442
202	578
203	653
204	659
205	598
206	473
207	294
208	79
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	46
224	254
225	444
226	581
227	655
228	663
229	602
230	477
231	298
232	82
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	47
248	256
249	446
250	583
251	659
252	666
253	606
254	482
255	302
256	86
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	48
272	257
273	448
274	586
275	662
276	670
277	610
278	486
279	307
280	90
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	49
296	259
297	450
298	589
299	665
300	674
301	614
302	490
303	311
304	93
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	50
320	261
321	453
322	592
323	668
324	678
325	618
326	495
327	316
328	97
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	51
344	263
345	455
346	595
347	672
348	682
349	623
350	499
351	320
352	102
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	52
368	265
369	458
370	598
371	676
372	686
373	627
374	504
375	325
376	106
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	53
392	268
393	461
394	601
395	680
396	690
397	632
398	509
399	330
400	110
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	55
416	270
417	464
418	605
419	684
420	694
421	636
422	514
423	335
424	115
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	56
440	273
441	467
442	609
443	688
444	699
445	641
446	519
447	340
448	120
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	58
464	276
465	470
466	613
467	692
468	703
469	646
470	524
471	345
472	124
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	60
488	279
489	474
490	616
491	696
492	708
493	651
494	529
495	350
496	129
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	62
512	282
513	478
514	621
515	701
516	713
517	656
518	534
519	355
520	134
521	1
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
